valor,hora,tipo_transacao,pais,fraude
50.25,10,compra,BR,nao
1200.00,3,transferencia,US,sim
89.90,14,compra,BR,nao
4500.00,2,transferencia,AR,sim
32.10,11,compra,PT,nao
980.50,1,saque,US,sim
75.00,16,compra,BR,nao
3200.00,4,transferencia,AR,sim
120.40,9,saque,BR,nao
15.75,13,compra,PT,nao
2750.00,2,transferencia,US,sim
60.00,15,compra,BR,nao
890.30,23,saque,AR,sim
45.20,12,compra,PT,nao
5100.00,3,transferencia,US,sim
99.99,17,compra,BR,nao
1300.00,1,saque,AR,sim
28.60,10,compra,PT,nao
40.00,18,compra,BR,nao
4100.00,2,transferencia,US,sim
